Input,Score,PPI
7avw-model-1,0.1199,7avw-model-1_A_Z
7avw-model-10,0.1215,7avw-model-10_A_Z
7avw-model-100,0.2274,7avw-model-100_A_Z
7avw-model-11,0.2123,7avw-model-11_A_Z
7avw-model-12,0.117,7avw-model-12_A_Z
7avw-model-13,0.2454,7avw-model-13_A_Z
7avw-model-14,0.2274,7avw-model-14_A_Z
7avw-model-15,0.2274,7avw-model-15_A_Z
7avw-model-16,0.0842,7avw-model-16_A_Z
7avw-model-17,0.1395,7avw-model-17_A_Z
7avw-model-18,0.2135,7avw-model-18_A_Z
7avw-model-19,0.1332,7avw-model-19_A_Z
7avw-model-2,0.0621,7avw-model-2_A_Z
7avw-model-20,0.163,7avw-model-20_A_Z
7avw-model-21,0.1147,7avw-model-21_A_Z
7avw-model-22,0.1378,7avw-model-22_A_Z
7avw-model-23,0.2274,7avw-model-23_A_Z
7avw-model-24,0.2274,7avw-model-24_A_Z
7avw-model-25,0.2274,7avw-model-25_A_Z
7avw-model-26,0.2173,7avw-model-26_A_Z
7avw-model-27,0.0958,7avw-model-27_A_Z
7avw-model-28,0.1199,7avw-model-28_A_Z
7avw-model-29,0.2543,7avw-model-29_A_Z
7avw-model-3,0.1055,7avw-model-3_A_Z
7avw-model-30,0.0681,7avw-model-30_A_Z
7avw-model-31,0.2274,7avw-model-31_A_Z
7avw-model-32,0.1401,7avw-model-32_A_Z
7avw-model-33,0.0901,7avw-model-33_A_Z
7avw-model-34,0.2577,7avw-model-34_A_Z
7avw-model-35,0.0978,7avw-model-35_A_Z
7avw-model-36,0.1023,7avw-model-36_A_Z
7avw-model-37,0.1028,7avw-model-37_A_Z
7avw-model-38,0.2274,7avw-model-38_A_Z
7avw-model-39,0.0662,7avw-model-39_A_Z
7avw-model-4,0.2274,7avw-model-4_A_Z
7avw-model-40,0.0841,7avw-model-40_A_Z
7avw-model-41,0.5997,7avw-model-41_A_Z
7avw-model-42,0.106,7avw-model-42_A_Z
7avw-model-43,0.1686,7avw-model-43_A_Z
7avw-model-44,0.1846,7avw-model-44_A_Z
7avw-model-45,0.068,7avw-model-45_A_Z
7avw-model-46,0.248,7avw-model-46_A_Z
7avw-model-47,0.1538,7avw-model-47_A_Z
7avw-model-48,0.1445,7avw-model-48_A_Z
7avw-model-49,0.1473,7avw-model-49_A_Z
7avw-model-5,0.1735,7avw-model-5_A_Z
7avw-model-50,0.2274,7avw-model-50_A_Z
7avw-model-51,0.2376,7avw-model-51_A_Z
7avw-model-52,0.2967,7avw-model-52_A_Z
