PPI,min_score,max_score,avg_score
7avw-model-1_A_Z,-3.155846357,9.020515442,3.051075697
7avw-model-2_A_Z,-4.07225132,3.901995182,1.0894171
7avw-model-3_A_Z,-3.90938592,3.062404871,0.560286164
7avw-model-4_A_Z,-4.603996754,1.656834602,-1.023070931
7avw-model-5_A_Z,-3.829452515,3.833974838,0.39025265
7avw-model-6_A_Z,-4.17545414,2.661830902,0.022295438
7avw-model-7_A_Z,-3.56708312,3.64939189,0.820487916
7avw-model-8_A_Z,-8.197291374,2.054554701,-0.727725685
7avw-model-9_A_Z,-4.741928101,3.063519955,-0.082111813
7avw-model-10_A_Z,-3.393470287,3.774669647,0.741468787
7avw-model-11_A_Z,-3.650529861,3.124885082,0.223576009
7avw-model-12_A_Z,-3.106360674,3.273777485,0.36619392
7avw-model-13_A_Z,-6.807358742,3.101949692,-1.621828675
7avw-model-14_A_Z,-3.403361559,2.847826719,-0.469829023
7avw-model-15_A_Z,-6.547894001,2.150389671,-1.202482581
7avw-model-16_A_Z,-2.72854495,3.473191261,0.753422439
7avw-model-17_A_Z,-2.037806034,8.633724213,3.680924654
7avw-model-18_A_Z,-5.065369129,2.376763344,-0.295918882
7avw-model-19_A_Z,-4.676003933,2.941170454,-0.078558251
7avw-model-20_A_Z,-6.97352457,2.472804308,-0.314264953
7avw-model-21_A_Z,-3.878518105,2.992690563,-0.35447818
7avw-model-22_A_Z,-2.240576029,3.796252728,0.878751278
7avw-model-23_A_Z,-3.365921736,2.208446741,-0.618416786
7avw-model-24_A_Z,-7.905180931,2.397873878,-1.803475857
7avw-model-25_A_Z,-4.314534664,2.798730135,-0.515203238
7avw-model-26_A_Z,-3.042284012,2.279938221,-0.431960672
7avw-model-27_A_Z,-5.096169949,3.837246895,0.07619179
7avw-model-28_A_Z,-5.235883236,2.981570482,-0.771881104
7avw-model-29_A_Z,-5.193451881,2.680610418,-0.866059482
7avw-model-30_A_Z,-5.931132793,2.238154173,-1.156469464
7avw-model-31_A_Z,-3.821810484,2.838503838,-0.845695913
7avw-model-32_A_Z,-2.453256607,2.241193771,0.082865052
7avw-model-33_A_Z,-5.407559395,2.247988701,-0.65667814
7avw-model-34_A_Z,-5.013640881,3.580204725,-0.103454173
7avw-model-35_A_Z,-5.461990356,2.281828165,-0.806040287
7avw-model-36_A_Z,-2.084084749,3.665393829,0.59350878
7avw-model-37_A_Z,-4.546461582,2.676451683,-0.489694655
7avw-model-38_A_Z,-4.575012684,2.646991491,-1.007910371
7avw-model-39_A_Z,-5.441545486,3.414921045,-0.235606492
7avw-model-40_A_Z,-3.74548912,3.535495758,0.340752542
7avw-model-41_A_Z,-2.538217068,4.259230614,1.241651654
7avw-model-42_A_Z,-5.130644798,2.474552631,-1.149893761
7avw-model-43_A_Z,-4.3035326,2.89127636,0.283171415
7avw-model-44_A_Z,-5.242536068,4.45886755,-0.442358196
7avw-model-45_A_Z,-5.61745739,2.290659666,-1.019573331
7avw-model-46_A_Z,-3.790275574,3.952159166,0.641876161
7avw-model-47_A_Z,-6.376990795,2.432624817,-0.293202966
7avw-model-48_A_Z,-2.913497686,3.56889534,-0.161910415
7avw-model-49_A_Z,-5.978270054,2.35484314,-0.386871606
7avw-model-50_A_Z,-7.074421883,1.702198505,-1.454071403
7avw-model-51_A_Z,-6.835025311,3.709743261,-1.497738361
7avw-model-52_A_Z,-3.84922576,2.935150862,0.360556841
7avw-model-53_A_Z,-3.948014259,5.356847286,0.487991184
7avw-model-54_A_Z,-9.132130623,2.138990641,-2.226257801
7avw-model-55_A_Z,-3.609674454,3.048292398,-0.193053633
7avw-model-56_A_Z,-4.080922604,2.819577694,0.1768208
